"cluster","pd","lgd dwt","ead","num ctp","sett","is","acca","cod type","cod stato","lgd pag"
"005108_44951",0.001698804,0.1845801877,89212.7150929096,418091,5,0.3,1.72258e-05,0,0,0.150151248
"010108_1476",0.0019281772,0.2786608828,37459.0743231122,13454,10,0.3,0.0002467775,0,0,0.2422341411
"005111_90754",0.0077907016,0.2131025561,25415.3676304568,422315,5,0.3,8.844e-06,0,0,0.1762346968
"005111_111558",0.0077907016,0.2131025561,89095.7286347633,422315,5,0.3,8.844e-06,0,0,0.1762346968
"005109_43712",0.0027976946,0.194392398,29152.9027180673,446020,5,0.3,9.9417e-06,0,0,0.1584937769
"005118_2321",0.2565108504,0.2230705366,51540.8787262205,83292,5,0.3,8.3402e-05,0,0,0.1876993741
"610109_13065",0.0027198264,0.2444973574,56773.3143539394,54007,10,0.3,5.39604e-05,0,0,0.2033755871
"005113_79808",0.0192875484,0.2052906677,39626.8015084764,373889,5,0.3,1.1033e-05,0,0,0.1686317579
"005111_1788",0.0077907016,0.2131025561,219.049582938645,422315,5,0.3,8.844e-06,0,0,0.1762346968
"005109_29",0.0027976946,0.194392398,31374.2877176444,446020,5,0.3,9.9417e-06,0,0,0.1584937769
"013111_2748",0.0078362993,0.3658157058,30975.5833591794,4524,13,0.3,0.0003099109,0,0,0.3425623944
"005108_39381",0.001698804,0.1845801877,116537.48603463,418091,5,0.3,1.72258e-05,0,0,0.150151248
"005103_5953",3e-04,0.1829700477,71004.9541585823,401848,5,0.3,4.119e-05,0,0,0.1483535962
"005109_20312",0.0027976946,0.194392398,57093.6150220059,446020,5,0.3,9.9417e-06,0,0,0.1584937769
"005118_8393",0.2565108504,0.2230705366,116856.34952995,83292,5,0.3,8.3402e-05,0,0,0.1876993741
"010110_2146",0.005042994,0.3472889308,346649.761199878,10057,10,0.3,0.0002610426,0,0,0.3234093329
"005106_274",0.0006999989,0.1701066993,174439.312691305,288177,5,0.3,4.76813e-05,0,0,0.1366911003
"610109_17455",0.0027198264,0.2444973574,6034.17396172225,54007,10,0.3,5.39604e-05,0,0,0.2033755871
"610109_12392",0.0027198264,0.2444973574,45429.7830581575,54007,10,0.3,5.39604e-05,0,0,0.2033755871
"010112_1196",0.0123238154,0.368068638,133633.293670458,8241,10,0.3,0.0003846001,0,0,0.3448683035
"005108_4941",0.001698804,0.1845801877,48163.2723140295,418091,5,0.3,1.72258e-05,0,0,0.150151248
"612109_139",0.0027508703,0.2684465872,22564.3110828781,648,12,0.3,0.0033097294,0,0,0.2292414003
"005111_18873",0.0077907016,0.2131025561,50822.1617716518,422315,5,0.3,8.844e-06,0,0,0.1762346968
"005113_40045",0.0192875484,0.2052906677,1973.09440555985,373889,5,0.3,1.1033e-05,0,0,0.1686317579
"005109_52344",0.0027976946,0.194392398,17617.1441189897,446020,5,0.3,9.9417e-06,0,0,0.1584937769
"005115_8737",0.0407148977,0.2298021679,35980.6843701814,198294,5,0.3,5.23093e-05,0,0,0.1945576752
"005103_17554",3e-04,0.1829700477,88728.1558104753,401848,5,0.3,4.119e-05,0,0,0.1483535962
"002112_5",0.0113054114,0.2894105617,1079309.84883246,7,2,0.3,0.095033714,0,0,0.2678999093
"012508_16",0.0021266304,0.3268163566,73451.4774806421,20,12,0.3717702679,0.0188319198,0,0,0.3098484185
"005107_77464",0.0010022497,0.1770468884,160053.102837408,473315,5,0.3,9.4484e-06,0,0,0.1409145217
"005107_68844",0.0010022497,0.1770468884,3070.40040469319,473315,5,0.3,9.4484e-06,0,0,0.1409145217
"005107_83649",0.0010022497,0.1770468884,46199.8072451489,473315,5,0.3,9.4484e-06,0,0,0.1409145217
"005113_26136",0.0192875484,0.2052906677,21548.9027156966,373889,5,0.3,1.1033e-05,0,0,0.1686317579
"005109_44271",0.0027976946,0.194392398,33570.1041247039,446020,5,0.3,9.9417e-06,0,0,0.1584937769
"005110_7402",0.0050928948,0.2066847819,255142.981953489,286110,5,0.3,3.81605e-05,0,0,0.170589917
"005115_4678",0.0407148977,0.2298021679,42555.7209406945,198294,5,0.3,5.23093e-05,0,0,0.1945576752
"005108_30888",0.001698804,0.1845801877,33275.9239734403,418091,5,0.3,1.72258e-05,0,0,0.150151248
"005109_63516",0.0027976946,0.194392398,58930.6378972775,446020,5,0.3,9.9417e-06,0,0,0.1584937769
"005108_48188",0.001698804,0.1845801877,136104.061994401,418091,5,0.3,1.72258e-05,0,0,0.150151248
"005111_101333",0.0077907016,0.2131025561,20027.3443993954,422315,5,0.3,8.844e-06,0,0,0.1762346968
"005106_15609",0.0006999989,0.1701066993,11976.4624014033,288177,5,0.3,4.76813e-05,0,0,0.1366911003
